agency,date,title,status,purpose,period_covered,link
DOH,"February 06, 2022",Correction of Middle Name Vax Cert,ACCEPTED,Update Details,06/17/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00ODE3MDAwMzAyNzQM
NTC,"February 06, 2022",Snatched Phone,PENDING,Please help me locate the phone,02/04/2022 - 02/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04MDA1NzEwODA0ODkM
DOH,"February 05, 2022",DOH COVID VACCINE SURVEY DATASET,ACCEPTED,RESEARCH / THESIS,03/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zNzE4OTUxMTgxODYM
VMMC,"February 05, 2022",Vaccine card,PENDING,"to have a new copy of vaccination card for personal use, travel and school/establishment",03/08/2021 - 04/05/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVZNTUMtODE5MDkxNjI5NzY3DA
BIR,"February 05, 2022",Income tax return,PENDING,Application for open-acdemic scholarship,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi03NTYyMjg5Mzg5NDUM
DOH,"February 05, 2022",Covid Vaccine Certification,ACCEPTED,Needed for abroad,12/09/2021 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04Nzc2ODM5NTE3OTcM
DepEd,"February 05, 2022",My Learner Request Number,PENDING,Requirement for College Admission,01/21/2022 - 01/29/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTUxNTMyMzE5NDY2NQw
DepEd,"February 05, 2022",Requesting a duplicate of my NCAE results,PENDING,To pursue my studies and to enroll on my choice of university,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTE2NzEyNTUxNjU2Mgw
DOH,"February 05, 2022",Medical vaccination record,ACCEPTED,Requirements,06/24/2003 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yODYzNjA2NzMyNjIM
DepEd,"February 05, 2022",Nosca,PENDING,Follow up,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTY4NjQ4Nzg5NzY4OQw
DOH,"February 05, 2022",Vaccination certificate with QR code,ACCEPTED,Access,Invalid date - 01/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01Mjg2Mjg5Nzc3NTgM
OVP,"February 05, 2022",Educational Assistance,PENDING,Educational Assistance for Graduating Student,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yMDE0MzUxODY2MjAM
BFAR,"February 05, 2022","Map of the Municipal Waters of the Municipality of Morong, Bataan",PENDING,Research purposes,01/01/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJGQVItMzIyNjExNDg5MTM4DA
NAMRIA,"February 05, 2022","Map of the Municipal Waters of the Municipality of Morong, Bataan",PENDING,Research Purposes,01/01/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtNTU4NDA1OTQxMTk4DA
DOJ,"February 05, 2022",Record check under docket no. XVI-INV-22A-0007,PENDING,Legal purpose,01/01/2022 - 01/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi0xMjQxODg4Nzk1NzYM
DAR,"February 05, 2022",CLOA Status,PENDING,Verify for transfer,01/05/1992 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERBUi00NDE2ODYzNDM4MTEM
DepEd,"February 05, 2022",High School Diploma,PENDING,To apply work.,06/05/2006 - 04/01/2007,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTAzNTUyNjMxNzU1NQw
PSA,"February 05, 2022","Number of Small, and Medium Enterprises in Quezon City Area",PENDING,Research Study,01/01/2018 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0wMDc1MTUxMzU0NjkM
BIR,"February 05, 2022",monitization deducted 30%,PENDING,to clarify my self about the 30% deduction,01/01/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0yMzYyNzk4NDc3ODEM
NTC,"February 05, 2022",Stolen phone,PENDING,To track my stolen phone,01/23/2022 - Invalid date,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00MDk2NjQ5NTk0MzYM
NTC,"February 05, 2022",Stolen Cellphone,PENDING,Block/disabling my stolen phone,02/01/2022 - 02/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05OTAzMTc0OTM4MzcM
DepEd,"February 05, 2022",List of Division Code and Station Code - Pangasinan I,PENDING,Pag-Ibig registration,01/04/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ5NzIyMzYzNzYzOAw
DOH,"February 05, 2022",VACCINATION CERTIFICATE,ACCEPTED,FOR WORK PERMIT REQUIREMENTS ABROAD,10/04/2021 - 11/03/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00Nzk0MTYzMjU5OTMM
DOTr,"February 05, 2022",Forfeiture of fee of MARINA,PENDING,Research and Clarification,04/01/2021 - 05/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMjQyOTg0MzYyNzczDA
DOH,"February 05, 2022",VACCINATION CERTIFICATE,ACCEPTED,FOR VISA APPLICATION,10/04/2021 - 11/03/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05OTk3MzgwMjUwNTUM
IC,"February 05, 2022",Certificate of passing the Traditional and Variable Life Insurance exams,PENDING,Applying as FA in Prulife UK,11/01/2017 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTU1NjAwMjYxNzI4Mww
