agency,date,title,status,purpose,period_covered,link
DPWH,"June 21, 2023",CMPD for 1st Quarter 2023,AWAITING CLARIFICATION,Costing of DPWH Projects (ABC/POW etc.),01/01/2023 - 03/31/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtODUwNjI1MTU0NDY0DA
DOTr,"June 21, 2023","Demands and Volume of Commuters in San Jose del Monte, Bulacan",PENDING,Architectural Thesis,05/03/2023 - 05/03/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMzUzMzk2Mzc1NTI5DA
DOH,"June 21, 2023",Vaccine certificate,SUCCESSFUL,For travel,06/21/2021 - 07/26/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03NzkwMjIyOTAwNzAM
DOST,"June 21, 2023",Microplastics on Facemasks,PENDING,For transparency,06/21/2020 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPU1QtNDUxMzg2NDQzMjgwDA
BMB,"June 21, 2023",NIPAS Shapefile Request,PENDING,Research and development,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJCTUItNzU4NzY1ODc2MzY0DA
DOH,"June 21, 2023","Annual Number of Birth and percentage(Balungao and Bautista,Pangasinan-2022 coverage)",PENDING,for DSP reference,01/31/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02OTA1NzgxMDg2MDMM
BUCOR,"June 21, 2023",An update for parole,PENDING,Personal purpose,02/14/2018 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVQ09SLTUyNTk0MDI4MjU0Mww
MMDA,"June 21, 2023",Traffic Count BGC / Fort Bonifacio,DENIED,Research and Development,01/01/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtOTc2NTc5NDgxOTIwDA
PRC,"June 21, 2023",REQUIRED CPD POINTS,PENDING,PRC Renewal,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy0yOTE1MjIyNjkzNjcM
SSS,"June 21, 2023",Death Claim,PENDING,To get the benifets,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01MzI4NjY2NzM0ODMM
